Title,Detail,Date,Price(in dollar),Offer price(in dollar),Review and rating,Number of bed
Cottage in Islamorada,1 BD PRIVATE HOUSEBOAT/ COTTAGE TARPON,May 1 - 6,229,,4.85 (74),3 beds
Hotel in Kissimmee,Modern room in boutique hotel near amusement parks,May 1 - 6,64,,4.81 (54),2 beds
Condo in Mary Esther,"Kayaks adventure, Dock, Pool, WiFi Courtyard view.",May 1 - 6,112,,4.72 (94),2 beds
Apartment in Los Angeles,Historic Venice Apt 1/2 blocks to beach+parking,May 1 - 6,222,,4.94 (431),2 beds
Guesthouse in Greensboro,A charmer!Great spot near downtown.,May 1 - 6,81,,4.97 (990),3 beds
Apartment in Galveston,Beach Front Condo In Casa Del Mar,May 1 - 6,122,,4.72 (389),2 beds
Guesthouse in Carrollton,The Cooper Cottage | Guesthouse,May 1 - 6,91,,5.0 (5),4 beds
Cabin in Wofford Heights,Tillie Creek Retreat: a Creekside Oasis,May 1 - 6,145,,4.85 (312),3 beds
Guest suite in Cave Creek,Room With The Views,May 1 - 6,127,,4.99 (402),3 beds
Home in Venice,Venice Getaway,May 1 - 6,159,,5.0 (30),3 beds
Home in Venice,Venice Getaway,May 1 - 6,159,,5.0 (30),3 beds
Condo in Panama City Beach,Beachfront~Amazing Views~Walkable to Walmart/Shops,May 1 - 7,184,,4.96 (26),4 beds
Condo in Miami,Lovely 1 bed condo with pool/wifi free parking,May 1 - 6,149,,4.92 (51),2 beds
Apartment in New York,THE SMALL ENGLISH MANOR NESTLED AMONGST THE TREES,May 1 - 6,276,,4.89 (420),2 beds
Apartment in New York,"Location, location, location!",May 1 - 6,260,,5.0 (19),2 beds
Home in Holden Beach,Egret ~ Beachfront Cottage (pet-Friendly),May 4 - 9,248,,4.93 (43),2 beds
Cottage in Rockaway Beach,Storybook Beach Cottage Twin Rocks,May 1 - 6,144,,4.88 (259),4 beds
Condo in Siesta Key,On the Beach; Siesta Key SunBum Studio,May 6 - 11,379,,4.96 (218),2 beds
Apartment in Laguna Beach,Laguna Beach Charming Unit- Location/Value,May 1 - 6,385,,4.96 (384),3 beds
Home in Tucson,Central House w/ Pool & Hot Tub,May 1 - 6,142,,4.88 (140),2 beds
Apartment in Kissimmee,Modern Great Villa near Disney & Parks,May 1 - 6,103,,4.87 (148),3 beds
Room in Los Angeles,Large Master Bedroom w Hollywood sign VIEWS,May 1 - 6,133,,4.9 (325),5 beds
Home in Huntington Beach,Beachfront Oasis,May 6 - 11,798,,4.99 (111),3 beds
Guesthouse in Colorado Springs,The Enchanted Cottage at Easy Manor,May 1 - 6,115,,4.96 (170),4 beds
Cabin in Hartsel,☀Sunrise Cabin☀ Balcony Mtn Views┃Grill┃Firepit,May 11 - 16,113,,4.98 (114),3 beds
Home in Phoenix,Cactus House - private home with pool in Phoenix,May 1 - 8,277,,4.99 (114),3 beds
Condo in Fort Walton Beach,"Beautiful Beachfront condo! 2 Bdrm, 2 Bath",May 1 - 6,300,,4.9 (104),1 bed
Apartment in North Bay Village,Waterfront Studio Apartment with FREE Parking,May 1 - 6,160,,4.63 (16),2 beds
Home in Dana Point,Betty's Beach Bungalow-Pet Friendly! STR21-1232,May 1 - 6,171,,4.97 (478),2 beds
Home in Los Angeles,"Casual Colorful Venice House near Canals,Beach &Abbot Kinney",May 1 - 6,323,,4.95 (398),2 beds
Condo in Miami Beach,Beachfront Penthouse studio w/ pool on Miami Beach,May 1 - 8,181,,4.85 (139),2 beds
Dome in El Prado,Geodesic Earth Dome,May 1 - 6,91,161,4.9 (953),2 beds
Townhouse in Kissimmee,Beautiful 4BR Townhouse/Townhome close to Disney,May 1 - 7,132,,4.83 (109),5 beds
Condo in Saint Petersburg,Waterfront condo on top floor @ Boca Ciega Resort,May 1 - 6,143,,4.87 (360),2 beds
Townhouse in Destin,Scenic Gulf view! Steps to private beach entry!,May 1 - 6,305,,5.0 (41),3 beds
Condo in Fernandina Beach,"Amelia Island, 2 bedroom beach front condo",May 1 - 6,327,,4.92 (147),2 beds
Cottage in San Diego,Fabulous Cottage at the Beach,May 1 - 6,253,,4.94 (215),3 beds
Guesthouse in Rolling Hills,"A view, a pool, and, private cabana sleeps five",May 1 - 6,165,,4.8 (260),4 beds
Home in Tampa,The T and C Club,May 1 - 6,247,,4.97 (90),6 beds
Condo in Cocoa Beach,Oceanfront Apartment - Cocoa Beach,May 1 - 6,176,,4.89 (53),2 beds
Cottage in San Diego,Charming Cottage at the Beach,May 11 - 16,253,,4.91 (550),3 beds
Condo in Las Vegas,Breath-taking Strip View on 33rd Flr Luxury Resort,May 1 - 6,118,,4.73 (318),2 beds
Apartment in Houston,Downtown Suite -Pool/Wi-Fi/ SkyView!,May 1 - 6,113,,4.84 (144),2 beds
Guest suite in Colorado Springs,Cañon Getaway- Cabin inspired home,May 1 - 6,112,,4.97 (460),2 beds
Home in Waxhaw,Fox Farms Little House,May 1 - 6,107,,4.97 (430),2 beds
Apartment in Miami,Retro 1BR Apt #3 | Steps from the Water + Parking!,May 1 - 6,106,,4.88 (136),2 beds
Room in Naples,Sunset Suite @ The Vanderbilt | Boutique~BnB,May 1 - 6,224,,4.96 (117),2 beds
Condo in Tybee Island,Direct Waterfront.Keyless entry.Dolphin watch.,May 1 - 6,220,,4.97 (279),2 beds
Room in Galveston,Tropicana Suite-Grand Manor Luxury Mansion Loft,May 1 - 6,104,,4.86 (494),2 beds
Home in Netarts,Retro Retreat by the Bay,May 1 - 6,136,,4.9 (201),4 beds
Apartment in Miami Beach,Ocean Drive Beach Front Studio,May 1 - 6,153,,4.56 (418),3 beds
Home in Sedona,Local Sedona Humble Home,May 1 - 6,236,,4.91 (107),3 beds
Home in Los Angeles,"Hollywood paradise studio in house,owned entrance",May 1 - 6,103,,4.89 (367),2 beds
Room in Miami,Luxe guest suite-perfect Staycation Pool & Parking,May 1 - 6,101,,4.91 (651),4 beds
Home in The Sea Ranch,Casa Del Mar Spectacular Ocean Views!,May 1 - 6,434,,4.97 (148),3 beds
Apartment in Brooklyn,Cozy Garden Apartment,May 1 - 6,117,,4.93 (287),3 beds
Cottage in Eastham,Classic Cape Cod Cottage,May 1 - 6,143,,4.92 (172),3 beds
Home in Las Vegas,Modern 3 bds house with pool in Las Vegas,May 1 - 7,313,,5.0 (10),3 beds
Apartment in Sunny Isles Beach,LOVELY OCEAN VIEW 1BD/1.5TH APT HIGH FLOOR|PARKING,May 4 - 9,148,,4.85 (47),2 beds
Room in New York,spacious chelsea room,May 1 - 6,106,,4.9 (127),3 beds
Guesthouse in Portland,Cozy Portland Studio Apartment,May 1 - 6,104,,4.98 (745),2 beds
Apartment in Pompano Beach,Direct beautiful beach and ocean view,May 1 - 6,173,,4.93 (124),3 beds
Condo in Hollywood,Beach paradise. Just minutes to restaurants shops.,May 1 - 6,320,,4.89 (54),4 beds
Home in Palm Coast,Spacious Heated Pool home with pool/pingpong table,May 1 - 6,212,,4.93 (138),2 beds
Guesthouse in Rockaway Beach,The Strand Oceanview Studio - Dog Friendly!,May 1 - 6,121,,4.85 (392),6 beds
Apartment in Carmel-by-the-Sea,Private romantic 1 br in Carmel Woods- love dogs,May 1 - 6,149,,4.86 (743),2 beds
Condo in Sunny Isles Beach,SUNNY ISLES GORGEOUS Apart 2210!! (+hotel fees),May 1 - 6,191,,4.91 (130),3 beds
Cabin in Point Reyes Station,Point Reyes Unique Creekside Home with Hot Tub,May 1 - 6,271,,4.89 (601),2 beds
Cottage in Mount Pleasant,Perfect Cottage with Amazing Creek & Harbor Views & Location,May 1 - 6,321,,4.99 (298),7 beds
Home in Treasure Island,Eiko Beach House 4BR/3BA Heatd Pool*Hot Tub* Pets,May 8 - 15,722,,4.79 (108),2 beds
Condo in Siesta Key,New: Cozy 1BR Beach Condo on Siesta Key!!!,May 1 - 6,157,,4.82 (148),5 beds
Condo in Anaheim,Across the street from Disney/Pool/Free Parking,May 1 - 6,342,,4.99 (76),3 beds
Condo in Sunny Isles Beach,BEAUTIFULL CONDO IN THE HEART OF SUNNY ISLES.,May 1 - 6,151,,4.57 (225),3 beds
Condo in Sunny Isles Beach,BEAUTIFULL CONDO IN THE HEART OF SUNNY ISLES.,May 1 - 6,151,159,4.57 (225),3 beds
Condo in Pompano Beach,Spacious Studio - 1 minute walk to the beach!,May 1 - 6,115,,5.0 (23),1 bed
Loft in Brooklyn,Authentic Luxury Designed Loft,May 1 - 6,178,,4.88 (253),3 beds
Condo in Las Vegas,Location Location Location 1 bdrm 0.5 mi of Strip,May 1 - 6,124,,4.7 (242),2 beds
Apartment in Las Vegas,Trump Tower High Floor Strip View,May 1 - 6,181,,4.87 (464),2 beds
Condo in Cocoa Beach,"Dolphin Bay, Apartment 202",May 1 - 6,140,,4.84 (285),2 beds
Home in St. Augustine,"Oceanfront, rustic cottage",May 1 - 6,339,,4.88 (465),1 bed
Condo in Pensacola Beach,Enjoy Sunsets at Fully Equipped 2BR Condo on Beach,May 1 - 6,215,,4.93 (14),3 beds
Condo in Long Beach,Oceanfront Belmont Shore Coastal Luxe,May 1 - 6,174,,4.98 (125),2 beds
Condo in Treasure Island,Spectacular beach to bay views from this resort.,May 1 - 6,218,,4.67 (148),1 bed
Condo in Longboat Key,Directly on Longboat Key Beach - Kid Friendly/SRQ1,May 1 - 6,196,,4.89 (415),2 beds
Guesthouse in San Antonio,Casa Alexander,May 1 - 6,73,,4.92 (282),5 beds
Apartment in Englewood,BEACH FRONT Unit w/ Pool Sandy Toe's # 5,May 7 - 12,233,,4.96 (318),4 beds
Room in Long Beach,Across the Street from Beach Getaway/Near Convention Center,May 1 - 6,106,,4.85 (97),4 beds
